Pool Name,pool ID,Pool Address,Stake Token,Stake Token Address,Earn Token1,Earn Token 1 Address,Earn Token2,Earn Token 2 Address,Earn Token3,Earn Token 3 Address
ETH-USDT,SUSHI-ETH-USDT,0xA56522BCA0A09f57B85C52c0Cc8Ba1B5eDbc64ef,fSLP,0x64035b583c8c694627A199243E863Bb33be60745,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
ETH-WBTC,SUSHI-ETH-WBTC,0xE2D9FAe95f1e68afca7907dFb36143781f917194,fSLP,0x5C0A3F55AAC52AA320Ff5F280E77517cbAF85524,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
ETH-UST,SUSHI-ETH-UST,0x59eeb34065dB1621c68d26f37ffEFf3A89E5FA8b,fSLP,0x4D4D85c6a1ffE6Bb7a1BEf51c9E2282893feE521,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
SUSHI HODL,SUSHI_HODL,0xf550804Ebd6f89CdC9EC8E92CE8DE91A2F64a82E,fSUSHI,0x274AA8B58E8C57C4e347C8768ed853Eb6D375b48,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
ETH-DAI HODL,SUSHI-ETH-DAI-HODL,0xF5833723b150929D1Fddf785ED9D92eEe722387d,fSLP,0x29EC64560ab14d3166222Bf07c3F29c4916E0027,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,fSUSHI,0x274AA8B58E8C57C4e347C8768ed853Eb6D375b48,,
ETH-USDC HODL,SUSHI-ETH-USDC-HODL,0x378C314028071C92efE15d6990B6cf93594fCB9D,fSLP,0x5774260CcD87F4FfFc4456260857207fc8BCb89A,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,fSUSHI,0x274AA8B58E8C57C4e347C8768ed853Eb6D375b48,,
ETH-USDT HODL,SUSHI-ETH-USDT-HODL,0x0c67FBa277A3FE1B0a792ef5bc798cBbDA15a7f5,fSLP,0x4D4B6f8EFb685b774234Fd427201b3a9bF36ffc8,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,fSUSHI,0x274AA8B58E8C57C4e347C8768ed853Eb6D375b48,,
ETH-WBTC HODL,SUSHI-ETH-WBTC-HODL,0x08aA65118996eaa61372B65978Cfa684F2C749b2,fSLP,0xB677bcA369f2523F62862F88d83471D892dD55B9,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,fSUSHI,0x274AA8B58E8C57C4e347C8768ed853Eb6D375b48,,
ETH-DAI,1INCH-ETH-DAI,0xDa5E9706274D88bbf1bD1877a9b462fC40cDcfAd,f1LP-ETH-DAI,0x8e53031462E930827a8d482e7d80603B1f86e32d,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
ETH-USDC,1INCH-ETH-USDC,0x9a9A6148f7b0A9767AC1fdC67343D1e3E219FdDf,f1LP-ETH-USDC,0xD162395C21357b126C5aFED6921BC8b13e48D690,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
ETH-USDT,1INCH-ETH-USDT,0x2A80e0B572e7EF61Ef81EF05eC024e1e52Bd70BD,f1LP-ETH-USDT,0x4bf633A09bd593f6fb047Db3B4C25ef5B9C5b99e,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
ETH-WBTC,1INCH-ETH-WBTC,0x747318Cf3171D4E2a1A52bBD3Fcc9f9c690448B4,f1LP-ETH-WBTC,0x859222DD0B249D0ea960F5102DaB79B294d6874a,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
MUSE-ETH,MUSE-ETH,0x743BD82331CAe227Fa2c8c97f345A6846f8383b1,fUNI-V2,0xc45d471c77ff31C39474d68a5080Fe1FfACDBC04,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
DUDES20-ETH,DUDES20-ETH,0x3B808A7d8CCdF8893d1360ff421beF4440376842,fUNI-V2,0x1E5f4e7127ea3981551D2Bf97dCc8f17a4ECEbEf,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
MASK20-ETH,MASK20-ETH,0xC5fc56779b5925218D2Cdac093d0bFc6de7Cc2D1,fUNI-V2,0xF2a671645D0DF54d2f03E9ad7916c8F7368D1C29,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
MCAT20-ETH,MOONCAT20-ETH,0xE7E1C3624188052a2367B63048a32A7429980113,fUNI-V2,0x0cA19915439C12B16C0A8C119eC05fA801365a15,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
CRV:HUSD,crvHUSD,0x72C50e6FD8cC5506E166c273b6E814342Aa0a3c1,fhusd3CRV,0x29780C39164Ebbd62e9DDDE50c151810070140f2,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
YCRV,YCRV,0x6D1b6Ea108AA03c6993d8010690264BA96D349A8,fyDAI+yUSDC+yUSDT+yTUSD,0x0FE4283e0216F94f5f9750a7a11AC54D3c9C38F3,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
3CRV,ThreePool,0x27F12d1a08454402175b9F0b53769783578Be7d9,f3Crv,0x71B9eC42bB3CB40F017D8AD8011BE8e384a95fa5,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
CRV:COMPOUND,crvCOMPOUND,0xC0f51a979e762202e9BeF0f62b07F600d0697DE1,fcDAI+cUSDC,0x998cEb152A42a3EaC1f555B1E911642BeBf00faD,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
CRV:BUSD,crvBUSD,0x093C2ae5E6F3D2A897459aa24551289D462449AD,fyDAI+yUSDC+yUSDT+yBUSD,0x4b1cBD6F6D8676AcE5E412C78B7a59b4A1bbb68a,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
CRV:USDN,crvUSDN,0xef4Da1CE3f487DA2Ed0BE23173F76274E0D47579,fusdn3CRV,0x683E683fBE6Cf9b635539712c999f3B3EdCB8664,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
CRV:EURS,crvEURS,0xf4d50f60D53a230abc8268c6697972CB255Cd940,feursCRV,0x6eb941BD065b8a5bd699C5405A928c1f561e2e5a,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
CRV:GUSD,crvGUSD,0x538613A19Eb84D86a4CcfcB63548244A52Ab0B68,fgusd3CRV,0xB8671E33fcFC7FEA2F7a3Ea4a117F065ec4b009E,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
CRV:UST,crvUST,0xDdb5D3CCd968Df64Ce48b577776BdC29ebD3120e,fust3CRV,0x84A1DfAdd698886A614fD70407936816183C0A02,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
MEME20-ETH,MEME20-ETH,0x269FA8c40062692CFD5494e5ec7daD64745b45af,fUNI-V2,0x227A46266329767cEa8883BFC81d21f1Ea0EdbB3,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
GPUNKS20-ETH,GPUNKS20-ETH,0x9b36b44C6E3BfB1aDfbe31BB7b8c4f9AF7A804Ee,fUNI-V2,0xe6e0B4294eF6a518bB702402e9842Df2a2Abf1B1,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
MAAPL-UST,mirrorAAPL,0xc02d1Da469d68Adc651Dd135d1A7f6b42F4d1A57,fUNI-V2,0x11804D69AcaC6Ae9466798325fA7DE023f63Ab53,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
MAMZN-UST,mirrorAMZN,0x8Dc427Cbcc75cAe58dD4f386979Eba6662f5C158,fUNI-V2,0x8334A61012A779169725FcC43ADcff1F581350B7,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
MGOOGL-UST,mirrorGOOG,0xfE83a00DF3A98dE218c08719FAF7e3741b220D0D,fUNI-V2,0x07DBe6aA35EF70DaD124f4e2b748fFA6C9E1963a,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
MTSLA-UST,mirrorTSLA,0x40C34B0E1bb6984810E17474c6B0Bcc6A6B46614,fUNI-V2,0xC800982d906671637E23E031e907d2e3487291Bc,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
MNFLX-UST,mirrorNFLX,0x937D4b84f139bec548b825FdCE33B172C5Bf755a,fUNI-V2,0x99C2564C9D4767C13E13F38aB073D4758af396Ae,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
MTWTR-UST,mirrorTWTR,0x677AD66025063bE55B070685E618a84FF3dd62be,fUNI-V2,0xb37c79f954E3e1A4ACCC14A5CCa3E46F226038b7,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
CRV:LINK,crvLink,0x9c6FbDBF59808CD920fDb166c25E2E9FcF708dD1,flinkCRV,0x24C562E24A4B5D905f16F2391E07213efCFd216E,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
DAI-BAC,BAC-DAI,0x797F1171DC5001B7A79ff7Dca68c9539329ccE48,fUNI-V2,0x6Bccd7E983E438a56Ba2844883A664Da87E4C43b,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
DAI-BASv2,DAI-BAS,0xf330891f02F8182D7D4e1A962ED0F3086D626020,fUNI-V2,0xf8b7235fcfd5A75CfDcC0D7BC813817f3Dd17858,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
FARM/ETH,FARM_WETH_LP,0x6555c79a8829b793F332f1535B0eFB1fE4C11958,UNI-V2,0x56feAccb7f750B997B36A68625C7C596F0B41A58,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
FARM/GRAIN,FARM_GRAIN_LP,0xe58f0d2956628921cdEd2eA6B195Fc821c3a2b16,UNI-V2,0xB9Fa44B0911F6D777faAb2Fa9d8Ef103f25Ddf49,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
